VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-01-01 07:06:23,2016-01-01 07:51:38,5,18.67,-73.77670288085938,40.64542007446289,2,N,-73.94860076904298,40.81362915039063,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
2,2016-01-01 07:09:59,2016-01-01 07:53:22,1,16.69,-73.98861694335938,40.74851989746094,1,N,-73.95597076416014,40.58768081665039,1,51.0,0.0,0.5,10.36,0.0,0.3,62.16
1,2016-01-01 07:14:49,2016-01-01 07:50:07,1,21.3,-73.79011535644531,40.641212463378906,2,N,-73.98446655273438,40.78015899658203,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
2,2016-01-01 07:16:18,2016-01-01 07:50:01,1,12.27,-73.78825378417969,40.64191818237305,1,N,-73.95056915283203,40.710243225097656,2,38.0,0.0,0.5,0.0,0.0,0.3,38.8
2,2016-01-01 07:19:17,2016-01-01 07:52:59,1,19.44,-73.96862030029298,40.79919052124024,2,N,-73.78176879882812,40.64448928833008,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
1,2016-01-01 07:20:33,2016-01-01 07:51:07,2,21.1,-73.78953552246094,40.643421173095696,2,N,-73.98910522460938,40.72431182861328,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35
1,2016-01-01 07:21:32,2016-01-01 07:53:38,1,14.1,-73.99030303955078,40.75609970092773,1,N,-73.90949249267578,40.66460418701172,2,41.0,0.0,0.5,0.0,5.54,0.3,47.34
1,2016-01-01 07:21:37,2016-01-01 07:50:36,1,9.3,-73.93241882324219,40.70784759521485,1,N,-73.95620727539062,40.78445434570313,2,28.5,0.0,0.5,0.0,0.0,0.3,29.3
1,2016-01-01 07:23:09,2016-01-01 07:54:52,2,18.7,-73.78206634521484,40.64459609985352,2,N,-73.96792602539062,40.76262664794922,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
1,2016-01-01 07:23:20,2016-01-01 07:51:54,2,18.4,-73.78919219970702,40.64714050292969,2,N,-74.00955200195312,40.71554183959961,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35
2,2016-01-01 07:24:48,2016-01-01 07:51:27,5,9.09,-73.9840316772461,40.74428939819336,1,N,-73.9244384765625,40.66242980957031,1,29.0,0.0,0.5,0.0,0.0,0.3,29.8
1,2016-01-01 07:24:50,2016-01-01 07:50:02,1,8.1,-73.9892349243164,40.74297332763672,1,N,-73.95730590820312,40.64110565185547,2,26.5,0.0,0.5,0.0,0.0,0.3,27.3
1,2016-01-01 07:24:59,2016-01-01 07:53:54,2,19.3,-73.79014587402342,40.64344787597656,1,N,-73.98937225341797,40.61589050292969,2,53.0,0.0,0.5,0.0,0.0,0.3,53.8
2,2016-01-01 07:25:12,2016-01-01 07:54:01,1,19.06,-73.77690124511719,40.64611053466797,2,N,-74.00508880615234,40.72294998168945,1,52.0,0.0,0.5,13.2,0.0,0.3,66.0
1,2016-01-01 07:25:22,2016-01-01 07:51:30,2,7.2,-73.98287963867188,40.7597541809082,1,N,-73.95954895019531,40.691139221191406,1,24.5,0.0,0.5,3.5,0.0,0.3,28.8
2,2016-01-01 07:25:51,2016-01-01 07:53:18,2,17.41,-73.99759674072266,40.75062942504883,2,N,-73.78325653076173,40.64379119873047,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
1,2016-01-01 07:26:02,2016-01-01 07:52:12,1,11.8,-73.98725891113281,40.73308181762695,1,N,-73.95657348632812,40.62566375732422,1,35.0,0.0,0.5,7.15,0.0,0.3,42.95
2,2016-01-01 07:26:12,2016-01-01 07:51:58,2,9.74,-73.98397827148438,40.744041442871094,1,N,-73.93048858642578,40.67598342895508,1,30.0,0.0,0.5,6.16,0.0,0.3,36.96
2,2016-01-01 07:26:18,2016-01-01 07:54:48,2,15.36,-73.99657440185547,40.76687622070313,1,N,-73.76878356933594,40.71779251098633,1,43.5,0.0,0.5,2.0,0.0,0.3,46.3
1,2016-01-01 07:26:22,2016-01-01 07:53:32,2,17.9,-73.95901489257811,40.81500625610352,2,N,-73.78627014160156,40.64400863647461,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34
2,2016-01-01 07:26:28,2016-01-01 07:51:25,1,18.06,-73.98175048828125,40.77167510986328,3,N,-74.1774139404297,40.69527053833008,1,65.5,0.0,0.0,15.66,12.5,0.3,93.96
1,2016-01-01 07:26:48,2016-01-01 07:53:22,2,10.5,-73.96193695068358,40.76204681396485,1,N,-73.91813659667969,40.870872497558594,2,31.0,0.0,0.5,0.0,0.0,0.3,31.8
1,2016-01-01 07:26:53,2016-01-01 07:52:36,2,17.6,-73.78855895996094,40.647239685058594,2,N,-73.9927749633789,40.7490348815918,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
2,2016-01-01 07:26:59,2016-01-01 07:51:48,1,16.23,-73.96291351318358,40.762672424316406,2,N,-73.78999328613281,40.64697647094727,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
1,2016-01-01 07:27:31,2016-01-01 07:53:39,1,5.0,-73.99942779541014,40.75473403930664,1,N,-74.01374053955078,40.70960235595703,1,22.0,0.0,0.5,3.0,0.0,0.3,25.8
1,2016-01-01 07:27:39,2016-01-01 07:53:35,2,9.9,-74.0199661254883,40.64970397949219,1,N,-73.99622344970702,40.74126052856445,1,31.0,0.0,0.5,3.73,5.54,0.3,41.07
1,2016-01-01 07:27:43,2016-01-01 07:51:15,1,18.0,-73.78353881835938,40.648601531982415,1,N,-73.9591064453125,40.68893432617188,1,48.5,0.0,0.5,9.85,0.0,0.3,59.15
2,2016-01-01 07:27:48,2016-01-01 07:54:52,3,5.92,-73.93647003173827,40.68558120727539,1,N,-73.95333099365234,40.640708923339844,1,23.0,0.0,0.5,4.76,0.0,0.3,28.56
1,2016-01-01 07:28:36,2016-01-01 07:54:35,1,7.9,-73.99391174316406,40.76665496826172,1,N,-73.92924499511719,40.70022583007813,2,26.5,0.0,0.5,0.0,0.0,0.3,27.3
2,2016-01-01 07:28:55,2016-01-01 07:50:36,1,7.68,-73.99593353271484,40.76401901245117,1,N,-73.94883728027344,40.71329879760742,2,24.5,0.0,0.5,0.0,0.0,0.3,25.3
2,2016-01-01 07:29:29,2016-01-01 07:51:13,1,9.03,-73.95133972167969,40.76984024047852,1,N,-73.91676330566406,40.8789291381836,1,28.0,0.0,0.5,7.84,2.54,0.3,39.18
2,2016-01-01 07:29:33,2016-01-01 07:53:35,4,17.5,-73.78205108642578,40.644546508789055,2,N,-73.9837646484375,40.748985290527344,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
1,2016-01-01 07:29:35,2016-01-01 07:53:26,2,11.1,-73.99420166015625,40.74116897583008,1,N,-73.91183471679686,40.84745407104492,2,32.5,0.0,0.5,0.0,0.0,0.3,33.3
1,2016-01-01 07:29:39,2016-01-01 07:50:02,2,10.3,-73.99387359619139,40.71836853027344,1,N,-73.95172882080078,40.814537048339844,1,30.0,0.0,0.5,7.7,0.0,0.3,38.5
1,2016-01-01 07:29:44,2016-01-01 07:53:59,2,13.6,-73.99152374267578,40.74467468261719,1,N,-73.78582763671875,40.73483276367188,1,38.0,0.0,0.5,7.75,0.0,0.3,46.55
1,2016-01-01 07:30:14,2016-01-01 07:52:38,1,17.0,-73.78179931640625,40.64473342895508,2,Y,-73.97592163085938,40.75170516967773,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
2,2016-01-01 07:30:19,2016-01-01 07:52:57,2,5.31,-73.9834976196289,40.76457977294922,1,N,-73.94185638427734,40.82801818847656,1,20.5,0.0,0.5,2.0,0.0,0.3,23.3
2,2016-01-01 07:30:35,2016-01-01 07:54:21,1,13.77,-73.9957504272461,40.76011276245117,1,N,-73.85480499267578,40.85456848144531,2,39.5,0.0,0.5,0.0,0.0,0.3,40.3
2,2016-01-01 07:30:37,2016-01-01 07:51:42,1,5.08,-73.87557220458984,40.73564910888672,1,N,-73.8054428100586,40.72283935546875,2,19.0,0.0,0.5,0.0,0.0,0.3,19.8
1,2016-01-01 07:30:45,2016-01-01 07:50:21,3,11.1,-73.98570251464844,40.75905990600585,1,N,-73.87105560302734,40.774192810058594,2,31.5,0.0,0.5,0.0,5.54,0.3,37.84
2,2016-01-01 07:30:57,2016-01-01 07:50:09,1,7.21,-74.0005874633789,40.75320053100585,1,N,-73.94378662109375,40.82368850708008,2,23.0,0.0,0.5,0.0,0.0,0.3,23.8
1,2016-01-01 07:30:59,2016-01-01 07:54:06,1,15.8,-73.98043823242188,40.760417938232415,1,N,-73.8291015625,40.87542343139648,1,42.5,0.0,0.5,1.16,5.54,0.3,50.0
1,2016-01-01 07:31:04,2016-01-01 07:50:33,1,8.4,-73.9522476196289,40.76885986328125,1,N,-73.93166351318358,40.69500350952149,1,26.0,0.0,0.5,3.0,0.0,0.3,29.8
2,2016-01-01 07:31:07,2016-01-01 07:53:46,1,7.05,-73.99736022949219,40.76395034790039,1,N,-73.88807678222656,40.75979995727539,1,23.5,0.0,0.5,4.86,0.0,0.3,29.16
2,2016-01-01 07:31:22,2016-01-01 07:54:17,1,16.92,-73.98043060302734,40.73440170288085,2,N,-73.7765121459961,40.645179748535156,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34
2,2016-01-01 07:31:24,2016-01-01 07:53:19,2,17.34,-73.98729705810547,40.76580810546875,3,N,-74.17981719970702,40.69565963745117,2,63.5,0.0,0.0,0.0,2.25,0.3,66.05
1,2016-01-01 07:31:29,2016-01-01 07:50:58,1,9.6,-73.99779510498048,40.75657653808594,1,N,-73.87083435058595,40.77392959594727,1,28.5,0.0,0.5,8.7,5.54,0.3,43.54
2,2016-01-01 07:31:37,2016-01-01 07:50:20,1,4.09,-73.916259765625,40.7001953125,1,N,-73.95511627197266,40.7365837097168,1,16.0,0.0,0.5,4.2,0.0,0.3,21.0
2,2016-01-01 07:31:54,2016-01-01 07:54:36,3,6.92,-73.98922729492188,40.74151992797852,1,N,-73.90795135498048,40.774173736572266,1,23.0,0.0,0.5,7.14,0.0,0.3,30.94
2,2016-01-01 07:31:56,2016-01-01 07:54:26,1,10.86,-73.98946380615234,40.75304412841797,1,N,-73.90574645996094,40.85329818725585,2,32.0,0.0,0.5,0.0,0.0,0.3,32.8
1,2016-01-01 07:32:01,2016-01-01 07:54:13,1,16.5,-73.93187713623048,40.759780883789055,1,N,-73.73311614990234,40.67398071289063,2,44.5,0.0,0.5,0.0,0.0,0.3,45.3
1,2016-01-01 07:32:04,2016-01-01 07:51:13,1,5.9,-74.00092315673827,40.7315788269043,1,N,-73.92975616455078,40.702064514160156,1,20.5,0.0,0.5,4.25,0.0,0.3,25.55
1,2016-01-01 07:32:29,2016-01-01 07:54:21,1,4.1,-73.9195327758789,40.75844192504883,1,N,-73.86601257324219,40.74327087402344,2,17.5,0.0,0.5,0.0,0.0,0.3,18.3
