VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PULocationID,DOLocationID
2,2016-01-01 21:36:40,2016-01-01 22:22:52,1,0.71,-74.00552368164062,40.741111755371094,1,N,-74.00325775146483,40.73171997070313,2,16.5,0.5,0.5,0.0,0.0,0.3,17.8,,
1,2016-01-01 21:37:48,2016-01-01 22:24:15,1,9.3,-73.9984359741211,40.73467254638672,1,N,-73.93885040283203,40.68534851074219,1,34.0,0.5,0.5,0.0,0.0,0.3,35.3,,
2,2016-01-01 21:38:56,2016-01-01 22:22:01,6,8.97,-74.01428985595702,40.71255874633789,1,N,-73.98240661621094,40.77497100830078,2,33.5,0.5,0.5,0.0,0.0,0.3,34.8,,
2,2016-01-01 21:42:21,2016-01-01 22:22:57,5,10.27,-74.00164794921875,40.73543930053711,1,N,-73.95166778564453,40.766510009765625,1,35.5,0.5,0.5,6.0,0.0,0.3,42.8,,
1,2016-01-01 21:42:40,2016-01-01 22:21:39,2,21.2,-73.77667999267578,40.64513778686523,2,N,-73.98021697998048,40.78236770629883,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34,,
2,2016-01-01 21:42:55,2016-01-01 22:20:51,1,13.06,-73.79006195068358,40.64353942871094,1,N,-73.96556091308594,40.67266082763672,1,40.0,0.5,0.5,7.5,0.0,0.3,48.8,,
2,2016-01-01 21:43:08,2016-01-01 22:23:27,1,9.2,-73.99041748046875,40.75614929199219,1,N,-73.90895080566406,40.69334030151367,2,34.5,0.5,0.5,0.0,0.0,0.3,35.8,,
2,2016-01-01 21:43:49,2016-01-01 22:22:33,1,18.04,-73.77693939208984,40.64519882202149,2,N,-73.97922515869139,40.76436614990234,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36,,
2,2016-01-01 21:44:08,2016-01-01 22:22:23,1,20.96,-73.78028869628906,40.64556121826172,2,N,-73.97583770751955,40.783058166503906,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 21:44:24,2016-01-01 22:20:12,6,19.46,-73.78253936767578,40.64453125,2,N,-74.010009765625,40.71458053588867,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,
1,2016-01-01 21:45:03,2016-01-01 22:21:09,1,12.1,-73.87444305419923,40.7740364074707,1,N,-73.99425506591797,40.76167297363281,1,39.0,0.5,0.5,9.16,5.54,0.3,55.0,,
2,2016-01-01 21:46:02,2016-01-01 22:23:26,2,12.76,-73.873046875,40.77413940429688,1,N,-73.98111724853516,40.768951416015625,1,40.5,0.5,0.5,9.47,5.54,0.3,56.81,,
2,2016-01-01 21:46:17,2016-01-01 22:22:33,2,8.43,-73.9689712524414,40.75445938110352,1,N,-73.87896728515625,40.765380859375,1,31.0,0.5,0.5,8.08,0.0,0.3,40.38,,
1,2016-01-01 21:47:22,2016-01-01 22:23:57,2,18.7,-73.79022979736328,40.64359664916992,2,N,-73.99225616455078,40.75651550292969,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 21:47:33,2016-01-01 22:22:54,1,8.31,-74.01602935791014,40.71128845214844,1,N,-74.01734161376955,40.71100997924805,1,30.0,0.5,0.5,6.26,0.0,0.3,37.56,,
2,2016-01-01 21:47:50,2016-01-01 22:24:13,1,20.54,-73.79165649414062,40.64522933959961,2,N,-73.98074340820312,40.78843307495117,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,,
2,2016-01-01 21:48:08,2016-01-01 22:22:49,3,20.62,-73.78221130371094,40.64466857910156,2,N,-73.97079467773438,40.78604507446289,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,,
2,2016-01-01 21:48:33,2016-01-01 22:21:37,2,7.05,-73.99423217773438,40.75110626220703,1,N,-73.96861267089844,40.67493057250977,1,27.5,0.5,0.5,5.76,0.0,0.3,34.56,,
1,2016-01-01 21:49:01,2016-01-01 22:24:10,2,20.1,-73.78213500976562,40.64482116699219,2,N,-73.96535491943358,40.80601119995117,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,,
2,2016-01-01 21:49:03,2016-01-01 22:22:12,1,20.27,-73.79036712646483,40.64717102050781,2,N,-73.97764587402342,40.78533172607422,1,52.0,0.0,0.5,5.0,5.54,0.3,63.34,,
2,2016-01-01 21:49:07,2016-01-01 22:21:04,5,18.43,-73.7898178100586,40.64353942871094,2,N,-73.9990005493164,40.71992111206055,1,52.0,0.0,0.5,13.2,0.0,0.3,66.0,,
2,2016-01-01 21:49:32,2016-01-01 22:21:35,1,21.32,-73.78972625732422,40.64701461791992,2,N,-73.92342376708984,40.867530822753906,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,,
1,2016-01-01 21:49:45,2016-01-01 22:24:33,2,13.1,-73.98975372314453,40.7582893371582,1,N,-74.01495361328125,40.61653137207031,2,40.0,0.5,0.5,0.0,0.0,0.3,41.3,,
1,2016-01-01 21:49:58,2016-01-01 22:23:50,2,13.5,-73.98219299316406,40.77489471435547,1,N,-73.98046112060547,40.648624420166016,1,41.0,0.5,0.5,8.45,0.0,0.3,50.75,,
1,2016-01-01 21:50:05,2016-01-01 22:22:21,1,17.6,-73.98507690429686,40.76087188720703,2,N,-73.7898941040039,40.64328384399415,1,52.0,0.0,0.5,5.0,5.54,0.3,63.34,,
2,2016-01-01 21:50:24,2016-01-01 22:23:48,1,18.12,-73.79000091552734,40.64699172973633,2,N,-73.9747543334961,40.77825546264648,1,52.0,0.0,0.5,5.0,0.0,0.3,57.8,,
2,2016-01-01 21:50:44,2016-01-01 22:22:23,1,9.42,-73.98732757568358,40.7556037902832,1,N,-73.92591857910156,40.68219375610352,2,30.0,0.5,0.5,0.0,0.0,0.3,31.3,,
1,2016-01-01 21:50:54,2016-01-01 22:23:18,1,17.4,-73.7881851196289,40.64128112792969,2,N,-73.97301483154298,40.75548934936523,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,
2,2016-01-01 21:51:26,2016-01-01 22:23:07,2,19.37,-73.78406524658203,40.64868927001953,2,N,-73.97974395751955,40.71364212036133,1,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,
2,2016-01-01 21:51:46,2016-01-01 22:24:25,1,20.96,-73.77667999267578,40.6452522277832,2,N,-73.96209716796875,40.77218627929688,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 21:51:46,2016-01-01 22:21:45,1,19.33,-73.77677917480467,40.645179748535156,2,N,-73.95159912109375,40.782318115234375,1,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
1,2016-01-01 21:52:04,2016-01-01 22:20:44,4,7.5,-73.99703216552734,40.76282119750977,1,N,-73.93437957763672,40.70549774169922,1,25.5,0.5,0.5,2.0,0.0,0.3,28.8,,
2,2016-01-01 21:52:07,2016-01-01 22:21:14,1,18.32,-73.78239440917969,40.64462661743164,2,N,-73.98234558105469,40.7234001159668,1,52.0,0.0,0.5,8.0,0.0,0.3,60.8,,
2,2016-01-01 21:52:20,2016-01-01 22:22:05,1,16.71,-73.7899169921875,40.64318084716797,1,N,-73.95014953613281,40.76140975952149,2,46.0,0.5,0.5,0.0,0.0,0.3,47.3,,
2,2016-01-01 21:52:25,2016-01-01 22:24:31,1,1.36,-73.97865295410156,40.75328826904297,1,N,-73.99565124511719,40.76445007324219,2,19.0,0.5,0.5,0.0,0.0,0.3,20.3,,
1,2016-01-01 21:52:28,2016-01-01 22:22:30,2,6.3,-73.98823547363281,40.73880386352539,1,N,-73.97227478027344,40.75600051879883,1,25.0,0.5,0.5,5.26,0.0,0.3,31.56,,
2,2016-01-01 21:52:31,2016-01-01 22:22:43,1,19.13,-73.96123504638672,40.79644393920898,2,N,-73.79029083251955,40.643741607666016,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,,
2,2016-01-01 21:52:32,2016-01-01 22:20:44,1,16.62,-73.78883361816406,40.64130783081055,1,N,-73.95894622802734,40.72039031982422,1,45.5,0.5,0.5,9.36,0.0,0.3,56.16,,
2,2016-01-01 21:52:36,2016-01-01 22:22:36,1,16.66,-73.78986358642578,40.6469841003418,2,N,-73.95870971679686,40.76154708862305,1,52.0,0.0,0.5,10.0,0.0,0.3,62.8,,
1,2016-01-01 21:52:50,2016-01-01 22:23:15,1,18.7,-73.7898178100586,40.64362335205078,1,N,-73.98406219482422,40.691505432128906,2,50.5,0.5,0.5,0.0,0.0,0.3,51.8,,
2,2016-01-01 21:53:06,2016-01-01 22:23:33,1,17.96,-73.78553771972656,40.64824676513672,2,N,-73.99944305419923,40.76032638549805,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,,
2,2016-01-01 21:53:06,2016-01-01 22:21:35,1,9.96,-73.98571014404298,40.76214599609375,1,N,-73.84971618652342,40.71234130859375,1,31.5,0.5,0.5,6.56,0.0,0.3,39.36,,
2,2016-01-01 21:53:09,2016-01-01 22:24:55,1,20.38,-73.78173828125,40.64479064941406,1,N,-73.99800872802734,40.69200134277344,2,54.5,0.5,0.5,0.0,0.0,0.3,55.8,,
2,2016-01-01 21:53:14,2016-01-01 22:24:09,1,18.09,-73.78218078613281,40.6446418762207,2,N,-73.95679473876955,40.769779205322266,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36,,
1,2016-01-01 21:53:39,2016-01-01 22:23:05,2,17.7,-73.78995513916014,40.64368057250977,2,N,-73.9805679321289,40.741863250732415,1,52.0,0.0,0.5,11.66,5.54,0.3,70.0,,
2,2016-01-01 21:53:41,2016-01-01 22:24:05,1,11.65,-73.79029083251955,40.64359664916992,1,N,-73.93230438232422,40.702903747558594,1,35.0,0.5,0.5,7.26,0.0,0.3,43.56,,
1,2016-01-01 21:53:42,2016-01-01 22:22:00,3,12.4,-73.77681732177734,40.64524841308594,1,N,-73.88917541503906,40.750164031982415,1,37.5,0.5,0.5,7.75,0.0,0.3,46.55,,
1,2016-01-01 21:53:58,2016-01-01 22:21:06,2,17.4,-73.78186798095702,40.64490127563477,2,N,-73.98231506347656,40.73159790039063,1,52.0,0.0,0.5,15.0,5.54,0.3,73.34,,
2,2016-01-01 21:54:04,2016-01-01 22:20:39,1,13.81,-73.99083709716798,40.75574111938477,1,N,-73.84825897216798,40.8197135925293,2,40.0,0.5,0.5,0.0,0.0,0.3,41.3,,
2,2016-01-01 21:54:15,2016-01-01 22:23:30,5,17.94,-73.79025268554686,40.6436882019043,1,N,-73.9586410522461,40.69068908691406,2,49.0,0.5,0.5,0.0,0.0,0.3,50.3,,
1,2016-01-01 21:54:15,2016-01-01 22:20:39,1,5.9,-73.96411895751955,40.80315017700195,1,N,-73.97853088378906,40.74075698852539,1,22.0,0.5,0.5,4.0,0.0,0.3,27.3,,
2,2016-01-01 21:54:17,2016-01-01 22:22:17,2,18.51,-73.78960418701173,40.642890930175774,2,N,-73.98918151855469,40.73620223999024,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,,
2,2016-01-01 21:54:56,2016-01-01 22:24:53,3,18.47,-73.78480529785155,40.64586639404297,2,N,-73.9986801147461,40.73473358154297,1,52.0,0.0,0.5,8.75,5.54,0.3,67.09,,
1,2016-01-01 21:55:19,2016-01-01 22:20:43,1,10.6,-73.79034423828125,40.64705276489258,1,N,-73.9506301879883,40.67863464355469,2,31.5,0.5,0.5,0.0,0.0,0.3,32.8,,
1,2016-01-01 21:55:20,2016-01-01 22:22:55,3,17.5,-73.78193664550781,40.64464950561523,2,N,-73.96887969970702,40.75680160522461,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,,
2,2016-01-01 21:55:32,2016-01-01 22:20:51,2,15.5,-73.78230285644531,40.64458084106445,1,N,-73.94988250732422,40.71324920654297,1,42.5,0.5,0.5,6.57,0.0,0.3,50.37,,
2,2016-01-01 21:55:33,2016-01-01 22:21:03,6,5.71,-74.00630950927734,40.73337936401367,1,N,-73.95491790771484,40.805000305175774,1,22.0,0.5,0.5,4.66,0.0,0.3,27.96,,
2,2016-01-01 21:55:34,2016-01-01 22:21:50,2,8.84,-73.86319732666014,40.76948165893555,1,N,-73.95276641845702,40.82580184936523,1,28.5,0.5,0.5,7.07,5.54,0.3,42.41,,
2,2016-01-01 21:55:36,2016-01-01 22:22:47,1,11.89,-73.79033660888672,40.64376831054688,1,N,-73.942626953125,40.692420959472656,2,34.5,0.5,0.5,0.0,0.0,0.3,35.8,,
1,2016-01-01 21:55:45,2016-01-01 22:23:37,4,7.9,-73.98507690429686,40.769126892089844,1,N,-73.96347045898438,40.68666076660156,1,25.5,0.5,0.5,4.0,0.0,0.3,30.8,,
1,2016-01-01 21:56:04,2016-01-01 22:23:33,1,5.0,-73.9603500366211,40.71947479248047,1,N,-73.90974426269531,40.69485473632813,2,20.5,0.5,0.5,0.0,0.0,0.3,21.8,,
2,2016-01-01 21:56:19,2016-01-01 22:22:19,6,3.12,-73.98091125488281,40.75970077514648,1,N,-74.00070953369139,40.72747039794922,2,18.5,0.5,0.5,0.0,0.0,0.3,19.8,,
1,2016-01-01 21:56:21,2016-01-01 22:23:31,1,10.5,-73.84539031982422,40.74032974243164,2,Y,-74.0076904296875,40.71861267089844,1,52.0,0.0,0.5,11.66,5.54,0.3,70.0,,
2,2016-01-01 21:56:23,2016-01-01 22:23:44,1,18.41,-73.79022216796875,40.64699935913085,1,N,-73.98385620117188,40.70302963256836,1,49.0,0.5,0.5,10.06,0.0,0.3,60.36,,
2,2016-01-01 21:56:23,2016-01-01 22:24:04,1,9.13,-73.95040130615234,40.8062858581543,1,N,-73.99606323242188,40.72021484375,2,30.0,0.5,0.5,0.0,0.0,0.3,31.3,,
2,2016-01-01 21:56:28,2016-01-01 22:23:34,2,17.37,-73.78223419189453,40.644630432128906,2,N,-73.98462677001955,40.74951553344727,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,,
2,2016-01-01 21:56:33,2016-01-01 22:21:42,2,4.28,-74.0087890625,40.71600341796875,1,N,-73.97545623779298,40.75924682617188,1,19.0,0.5,0.5,3.25,0.0,0.3,23.55,,
2,2016-01-01 21:56:39,2016-01-01 22:22:33,5,17.0,-73.87110137939453,40.77364730834961,1,N,-74.02775573730467,40.623401641845696,1,46.0,0.5,0.5,9.46,0.0,0.3,56.76,,
2,2016-01-01 21:56:40,2016-01-01 22:22:56,2,13.82,-73.976806640625,40.75622177124024,1,N,-73.86768341064453,40.89818954467773,2,39.5,0.5,0.5,0.0,0.0,0.3,40.8,,
2,2016-01-01 21:56:49,2016-01-01 22:22:03,6,11.27,-73.79022979736328,40.6438865661621,1,N,-73.93052673339844,40.68476486206055,2,33.0,0.5,0.5,0.0,0.0,0.3,34.3,,
1,2016-01-01 21:56:57,2016-01-01 22:23:12,2,9.6,-73.77708435058595,40.64501953125,1,N,-73.9127197265625,40.6583366394043,2,30.5,0.5,0.5,0.0,0.0,0.3,31.8,,
1,2016-01-01 21:57:00,2016-01-01 22:20:44,1,13.6,-73.86296844482422,40.76921081542969,1,N,-74.01069641113281,40.70514297485352,1,37.5,0.5,0.5,7.75,0.0,0.3,46.55,,
2,2016-01-01 21:57:02,2016-01-01 22:20:15,1,7.72,-73.97642517089844,40.78566360473633,1,N,-73.93083190917969,40.859050750732415,1,25.0,0.5,0.5,5.26,0.0,0.3,31.56,,
2,2016-01-01 21:57:13,2016-01-01 22:21:30,6,4.92,-73.98452758789062,40.74258804321289,1,N,-73.94098663330078,40.79943084716797,1,20.0,0.5,0.5,2.1,0.0,0.3,23.4,,
1,2016-01-01 21:57:14,2016-01-01 22:20:37,1,5.9,-73.99456787109375,40.7505111694336,1,N,-73.99889373779298,40.68506622314453,1,20.5,0.5,0.5,4.35,0.0,0.3,26.15,,
2,2016-01-01 21:57:15,2016-01-01 22:21:33,5,6.73,-73.96648406982422,40.76347732543945,1,N,-73.97643280029298,40.67732238769531,2,23.5,0.5,0.5,0.0,0.0,0.3,24.8,,
2,2016-01-01 21:57:15,2016-01-01 22:20:23,2,6.63,-73.9876937866211,40.74801635742188,1,N,-73.95061492919923,40.82326126098633,1,22.0,0.5,0.5,4.66,0.0,0.3,27.96,,
1,2016-01-01 21:57:42,2016-01-01 22:21:03,4,11.3,-73.87318420410156,40.77424621582031,1,N,-74.00173950195312,40.684837341308594,1,32.0,0.5,0.5,9.99,0.0,0.3,43.29,,
1,2016-01-01 21:57:46,2016-01-01 22:21:32,1,6.8,-73.97349548339844,40.763710021972656,1,N,-73.96041870117188,40.715347290039055,2,23.0,0.5,0.5,0.0,0.0,0.3,24.3,,
2,2016-01-01 21:57:46,2016-01-01 22:21:06,5,4.18,-73.97911834716798,40.75591278076172,1,N,-74.00558471679686,40.740989685058594,1,18.5,0.5,0.5,2.0,0.0,0.3,21.8,,
2,2016-01-01 21:57:47,2016-01-01 22:22:03,2,13.69,-73.86628723144531,40.771461486816406,1,N,-74.01107025146483,40.70436096191406,1,38.5,0.5,0.5,7.96,0.0,0.3,47.76,,
2,2016-01-01 21:57:49,2016-01-01 22:24:26,2,19.58,-73.7811279296875,40.64497756958008,2,N,-73.95317840576173,40.77762985229492,1,52.0,0.0,0.5,9.0,5.54,0.3,67.34,,
2,2016-01-01 21:57:53,2016-01-01 22:23:57,5,14.07,-73.86309051513672,40.76955032348633,1,N,-73.99221801757811,40.66064834594727,2,38.5,0.5,0.5,0.0,0.0,0.3,39.8,,
